"","sample","phase","tab","rep","nominal_time","dw_g","time_h","Cd111_ppb","Cd114_ppb","Cu63_ppb","Cu65_ppb","Ni60_ppb","Ni62_ppb","clear"
"22","ref_0.25d_1_2","ref","1",1,"6h",0.0879,NA,0.660509409492831,5.16640856287509,6.0692266359348,25.337298672871,2.23491538749395,9.41978595443145,0
"23","ref_0.25d_1_3","ref","1",1,"6h",0.1468,NA,0.50596605234828,5.04521036367591,5.78277879658038,20.5836242396798,3.23437063987954,9.30855858051044,0
"24","ref_0.25d_2_1","ref","1",2,"6h",0.067,NA,0.663754274678314,7.90886705042665,8.28104990175198,40.1624974961281,4.10999445732682,24.7628209058407,0
"25","ref_0.25d_2_2","ref","1",2,"6h",0.1139,NA,0.625692364403857,4.72254030341442,5.61905878722132,24.7276931795299,2.65877998480358,7.13801788003815,0
"26","ref_0.25d_2_3","ref","1",2,"6h",0.0876,NA,0.5887788103307,5.67355997455189,6.07430557041016,25.3968029338927,1.68827812253443,7.9292740723112,0
"27","ref_0.25d_3_1","ref","1",3,"6h",0.0752,NA,0.46616508097666,6.36700676327779,5.72221868136574,19.2766138883803,1.69295836175996,9.26464989772332,0
"28","ref_0.25d_3_2","ref","1",3,"6h",0.0692,NA,0.558841467876495,5.9315424114548,6.63867932730849,32.915378592953,2.33424693161869,13.210311803949,0
"29","ref_0.25d_3_3","ref","1",3,"6h",0.0565,NA,0.533908403610331,4.62520450184464,6.04812266126001,26.1547076233447,1.61242107462142,11.3405767992655,0
"30","TD_labeling_0.25d_1_1","TD","1",1,"6h",0.1248,6,0.540436637140218,4.50566545654279,6.42326418476006,25.8878925679206,2.74387177900537,7.30874215752849,0
"31","TD_labeling_0.25d_1_2","TD","1",1,"6h",0.0651,6,0.625201606393467,7.52222131494444,6.75385286999123,30.3887734100171,3.03192635021337,13.8587946839863,0
"32","TD_labeling_0.25d_1_3","TD","1",1,"6h",0.0611,6,0.587008708133834,8.45420460216909,7.91001019913783,45.9489646092584,1.52087769065592,20.515633841042,0
"33","TD_labeling_0.25d_2_1","TD","1",2,"6h",0.0369,6,0.428064446894339,4.986867538019,5.96482335684702,25.8957380917455,2.09782102228406,11.0558386836836,0
"34","TD_labeling_0.25d_2_2","TD","1",2,"6h",0.065,6,0.73854743152064,9.14065189626501,8.73153013187466,51.6061573064394,3.7234140460602,15.5505849912929,0
"35","TD_labeling_0.25d_2_3","TD","1",2,"6h",0.0904,6,0.647593733147508,6.44176752726234,9.63237903560393,42.8335268261575,2.86955639779394,11.7111572106765,0
"36","TD_labeling_0.25d_3_1","TD","1",3,"6h",0.055,6,0.775670214832109,7.46147386735977,6.82107391288324,27.6019537383892,1.50444335230624,9.4188575009185,0
"37","TD_labeling_0.25d_3_2","TD","1",3,"6h",0.0488,6,0.688139024065698,9.69909849013069,7.079619460448,35.8841057567953,2.17556375104087,17.0322889431652,0
"38","TD_labeling_0.25d_3_3","TD","1",3,"6h",0.1141,6,0.550244330036959,4.74427885629117,5.53846178177388,19.8947933081819,5.92186484219468,11.4850562162163,0
"39","TD_labeling_0.25d_4_1","TD","1",4,"6h",0.1029,6,0.652053221006594,5.68990932188759,5.57080121404592,20.2640760236168,3.45560693726224,9.54907862903501,0
"40","TD_labeling_0.25d_4_2","TD","1",4,"6h",0.0975,6,0.595831352750336,6.94647511411223,7.96321646999119,35.3259429702905,3.34103916379451,16.2768143106821,0
"41","TD_labeling_0.25d_4_3","TD","1",4,"6h",0.1,6,0.701034975548675,6.81207896573802,8.07384798961987,33.6221029270173,2.0506284749194,11.5622047762869,0
"42","ref_1d_1_1","ref","1",1,"24h",0.0614,NA,0.753238826968057,5.85601543203706,6.212288328869,28.7286731840915,2.30932423669419,8.89472080662327,0
"43","ref_1d_1_2","ref","1",1,"24h",0.0689,NA,0.664724011046391,5.6594599030909,6.6932425833581,33.412641103936,1.83037394711077,7.17827157555567,0
"44","ref_1d_1_3","ref","1",1,"24h",0.1273,NA,0.562781078335887,4.61725179191224,5.52261695613599,18.0163347930927,2.00706839958632,6.05316434924537,0
"45","ref_1d_2_1","ref","1",2,"24h",0.0795,NA,0.844177728960531,5.48711231582326,6.56859217119718,28.1540648431878,1.76864555661942,5.51853824815742,0
"46","ref_1d_2_2","ref","1",2,"24h",0.0568,NA,0.610606445232434,6.7674788307978,8.57012281862665,48.462193088086,1.984365307144,11.2968280710128,0
"47","ref_1d_2_3","ref","1",2,"24h",0.0706,NA,0.633043444515245,6.25646828812147,6.0781174091646,30.0701552457234,2.39235408853016,9.91331586020886,0
"48","ref_1d_3_1","ref","1",3,"24h",0.0425,NA,0.566617403510784,6.55316515018674,6.16520281131521,25.5369361246721,2.03835788218362,8.58583515569543,0
"49","ref_1d_3_2","ref","1",3,"24h",0.1084,NA,0.485292648171445,5.60802751250967,5.83832603092596,23.589813225597,2.1901664526409,14.5013978670193,0
"50","ref_1d_3_3","ref","1",3,"24h",0.0383,NA,0.53486736581906,7.81520366980337,5.34055918862413,21.6887132125663,2.52339592276889,18.6296881587587,0
"51","Bioa_labeling_1d_1_1","Bioa","1",1,"24h",0.1039,24.3,0.667704026462666,4.74243553515152,5.11995092116801,18.6777115581146,3.21979100227489,8.04871403386376,0
"52","Bioa_labeling_1d_1_2","Bioa","1",1,"24h",0.0754,24.3,0.596630537081592,5.5753732963576,7.02467692556889,33.5367771702676,3.32749838807306,9.5130107469412,0
"53","Bioa_labeling_1d_1_3","Bioa","1",1,"24h",0.0796,24.3,0.510818060017781,6.2451238487153,7.29857518681737,37.7461539586157,4.29688704139389,19.0200596767985,0
"54","Bioa_labeling_1d_1_4","Bioa","1",1,"24h",0.0572,24.3,0.636611654745236,6.21536961697382,5.64422795913852,24.7463587888188,2.46833258267015,7.88143693283133,0
